method,NB-NB,NB-CB,NB-SB,CB-NB,CB-CB,CB-SB,SB-NB,SB-CB,SB-SB,chi-chi,chi-san,san-chi,san-san
RF,0.333,0.425,0.323,0.326,0.358,0.317,0.369,0.462,0.311,0.374,0.763,0.526,0.597
RF-FA,0.331,0.373,0.313,0.324,0.394,0.311,0.33,0.349,0.311,0.503,0.587,0.373,0.643
RF-BW,0.331,0.402,0.32,0.312,0.361,0.303,0.344,0.43,0.307,0.377,0.587,0.374,0.598
RF-CORAL,0.358,0.476,0.33,0.328,0.358,0.326,0.368,0.479,0.318,0.413,0.771,0.523,0.604
RF-SA,0.352,0.456,0.333,0.326,0.354,0.308,0.353,0.444,0.313,0.376,0.807,0.458,0.612
XG,0.341,0.436,0.361,0.35,0.402,0.353,0.419,0.51,0.353,0.379,0.771,0.447,0.593
XG-FA,0.348,0.402,0.352,0.327,0.427,0.338,0.337,0.403,0.325,0.543,0.621,0.362,0.612
XG-BW,0.343,0.401,0.344,0.336,0.38,0.329,0.373,0.45,0.34,0.380,0.623,0.364,0.595
XG-CORAL,0.378,0.468,0.358,0.359,0.395,0.352,0.424,0.513,0.355,0.418,0.806,0.450,0.576
XG-SA,0.372,0.456,0.362,0.366,0.393,0.344,0.372,0.473,0.341,0.379,0.820,0.487,0.606
TN,0.364,0.443,0.325,0.334,0.358,0.319,0.386,0.471,0.331,0.424,1.177,0.639,0.625
TN-FA,0.351,0.408,0.356,0.336,0.365,0.312,0.385,0.411,0.324,0.611,0.593,0.410,0.676
TN-BW,0.366,0.425,0.369,0.341,0.388,0.334,0.395,0.472,0.348,0.506,0.663,0.434,0.601
TN-CORAL,0.349,0.451,0.32,0.348,0.369,0.323,0.386,0.465,0.327,0.458,0.770,0.562,0.769
TN-SA,0.337,0.421,0.326,0.333,0.354,0.332,0.368,0.425,0.319,0.412,0.820,0.532,0.704
