method,NB-NB,NB-CB,NB-SB,CB-NB,CB-CB,CB-SB,SB-NB,SB-CB,SB-SB,chi-chi,chi-san,san-chi,san-san
RF,0.336,0.426,0.322,0.325,0.358,0.316,0.369,0.46,0.312,0.37396550956088703,0.744556327858669,0.5315327671087593,0.5958333055426384
RF-FA,0.327,0.343,0.318,0.332,0.397,0.319,0.339,0.344,0.314,0.4886359115153148,0.581534659479319,0.3744220197993466,0.6532222897218322
RF-BW,0.32,0.383,0.315,0.314,0.355,0.3,0.343,0.401,0.302,0.37576665161952294,0.5810066408694733,0.37546277561502783,0.5980384691422558
RF-CORAL,0.357,0.473,0.328,0.326,0.359,0.323,0.369,0.477,0.319,0.3948508888117459,0.7467154546661907,0.5040254300828754,0.6095911093827375
RF-SA,0.354,0.456,0.333,0.326,0.355,0.308,0.354,0.443,0.313,0.37561070771983845,0.8007371552041608,0.4361455979521095,0.6208058231723049
XG,0.341,0.436,0.361,0.35,0.402,0.353,0.419,0.51,0.353,0.3786496280064083,0.7566859592609575, 0.4448253754713341,0.5917897051727308
XG-FA,0.344,0.394,0.34,0.332,0.394,0.346,0.336,0.368,0.33,0.5555311046388751,0.6053658145687212,0.36303302139852217,0.6136217082622752
XG-BW,0.336,0.404,0.336,0.343,0.382,0.323,0.355,0.445,0.33,0.37870571210231224,0.6026903721613409,0.3655516585136301,0.593710675104264
XG-CORAL,0.378,0.468,0.358,0.359,0.395,0.352,0.424,0.513,0.355,0.4066694236020153,0.7771758293375042,0.4378021664582953,0.5759624345298954
XG-SA,0.372,0.456,0.362,0.366,0.393,0.344,0.372,0.473,0.341,0.3788765099818039,0.8248911882734206,0.4744286636746704,0.6058178410724852
TN,0.364,0.443,0.325,0.334,0.358,0.319,0.386,0.471,0.331,0.4153590998288624,1.0292248540783646,0.6423452071923945,0.6147514550743407
TN-FA,0.362,0.438,0.323,0.337,0.371,0.313,0.362,0.4,0.325,0.4433722668219609,0.5985483200556685,0.4474598956952698,0.6916435331495429
TN-BW,0.362,0.392,0.343,0.363,0.415,0.321,0.391,0.432,0.333,0.4274060157527223,0.6366163297188316,0.4187108767757811,0.608612888859809
TN-CORAL,0.349,0.451,0.32,0.348,0.369,0.323,0.386,0.465,0.327,0.45914341254460034,0.7779669040822054,0.583225072491435,0.6965478011906583
TN-SA,0.337,0.421,0.326,0.333,0.354,0.332,0.368,0.425,0.319,0.42356135733854083,0.8072656521543221,0.641648372238428,0.6376348099396898
